Open Circuits miRNA_TF_mRNA 1


TF		miRNA		mRNA

SP4	|------	miR-144-3p	------|	KIT

SP4	|------	miR-144-3p	------|	KLF8

SP4	|------	miR-144-3p	------|	LIMCH1

SP4	|------	miR-144-3p	------|	LYPD6

SP4	|------	miR-144-3p	------|	MAP1B

SP4	|------	miR-144-3p	------|	MET

SP4	|------	miR-144-3p	------|	MYO9A

SP4	|------	miR-144-3p	------|	NCOA7

SP4	|------	miR-144-3p	------|	NCS1

SP4	|------	miR-144-3p	------|	NFIB

SP4	|------	miR-144-3p	------|	NLN

SP4	|------	miR-144-3p	------|	NOVA1

SP4	|------	miR-144-3p	------|	NR6A1

SP4	|------	miR-144-3p	------|	NT5DC1

SP4	|------	miR-144-3p	------|	NUDT11

SP4	|------	miR-144-3p	------|	NUP62CL

SP4	|------	miR-144-3p	------|	OTUD3

SP4	|------	miR-144-3p	------|	PAFAH1B1

SP4	|------	miR-144-3p	------|	PAPPA

SP4	|------	miR-144-3p	------|	PBRM1

SP4	|------	miR-144-3p	------|	PCDH10

SP4	|------	miR-144-3p	------|	PDE4D

SP4	|------	miR-144-3p	------|	PHLDA1

SP4	|------	miR-144-3p	------|	PIK3C2A

SP4	|------	miR-144-3p	------|	PJA2

SP4	|------	miR-144-3p	------|	PLAT

SP4	|------	miR-144-3p	------|	PROX1

SP4	|------	miR-144-3p	------|	PTGS2

SP4	|------	miR-144-3p	------|	PUM1

SP4	|------	miR-144-3p	------|	QSER1

SP4	|------	miR-144-3p	------|	RAPGEF2

SP4	|------	miR-144-3p	------|	RASGEF1A

SP4	|------	miR-144-3p	------|	RGMA

SP4	|------	miR-144-3p	------|	RNPC3

SP4	|------	miR-144-3p	------|	ROCK1

SP4	|------	miR-144-3p	------|	RPA1

SP4	|------	miR-144-3p	------|	RRAGD

SP4	|------	miR-144-3p	------|	SEMA6A

SP4	|------	miR-144-3p	------|	SEMA6D

SP4	|------	miR-144-3p	------|	SFRP1

SP4	|------	miR-144-3p	------|	SHANK2

SP4	|------	miR-144-3p	------|	SHH

SP4	|------	miR-144-3p	------|	SNTB2

SP4	|------	miR-144-3p	------|	SOCS2

SP4	|------	miR-144-3p	------|	SPRED1

SP4	|------	miR-144-3p	------|	SRGAP1

SP4	|------	miR-144-3p	------|	ST5

SP4	|------	miR-144-3p	------|	TBC1D14

SP4	|------	miR-144-3p	------|	TES

SP4	|------	miR-144-3p	------|	TGFA

SP4	|------	miR-144-3p	------|	TMF1

SP4	|------	miR-144-3p	------|	TNC

SP4	|------	miR-144-3p	------|	TNRC18

SP4	|------	miR-144-3p	------|	TRIO

SP4	|------	miR-144-3p	------|	TSHZ2

SP4	|------	miR-144-3p	------|	TSPAN3

SP4	|------	miR-144-3p	------|	TSPAN5

SP4	|------	miR-144-3p	------|	TSPAN6

SP4	|------	miR-144-3p	------|	USP31

SP4	|------	miR-144-3p	------|	USP47

SP4	|------	miR-144-3p	------|	VPS35

SP4	|------	miR-144-3p	------|	WDFY3

SP4	|------	miR-144-3p	------|	WIPI2

SP4	|------	miR-144-3p	------|	XKR6

SP4	|------	miR-144-3p	------|	ZBTB20

SP4	|------	miR-144-3p	------|	ZCCHC2

SP4	|------	miR-144-3p	------|	ZNF207

SP4	|------	miR-144-3p	------|	ZNF462

SP4	|------	miR-144-3p	------|	ZNF777

TCF21	|------	miR-144-3p	------|	ADAMTS5

TCF21	|------	miR-144-3p	------|	ALCAM

TCF21	|------	miR-144-3p	------|	ANKRD28

TCF21	|------	miR-144-3p	------|	APLP2

TCF21	|------	miR-144-3p	------|	ARAP2

TCF21	|------	miR-144-3p	------|	ARHGAP26

TCF21	|------	miR-144-3p	------|	ARHGAP5

TCF21	|------	miR-144-3p	------|	ARID5B

TCF21	|------	miR-144-3p	------|	ARSJ

TCF21	|------	miR-144-3p	------|	ATP1B1

TCF21	|------	miR-144-3p	------|	ATXN1L

TCF21	|------	miR-144-3p	------|	BAZ2B

TCF21	|------	miR-144-3p	------|	BBX

TCF21	|------	miR-144-3p	------|	BHLHE41

TCF21	|------	miR-144-3p	------|	BMPR1A

TCF21	|------	miR-144-3p	------|	C19orf81

TCF21	|------	miR-144-3p	------|	CADM1

TCF21	|------	miR-144-3p	------|	CDC42EP3

TCF21	|------	miR-144-3p	------|	CDH2

TCF21	|------	miR-144-3p	------|	CHIC2

TCF21	|------	miR-144-3p	------|	DCBLD2

TCF21	|------	miR-144-3p	------|	DLC1

TCF21	|------	miR-144-3p	------|	DLG5

TCF21	|------	miR-144-3p	------|	DMD

TCF21	|------	miR-144-3p	------|	DRP2

TCF21	|------	miR-144-3p	------|	DST

TCF21	|------	miR-144-3p	------|	DUSP1

TCF21	|------	miR-144-3p	------|	DUSP16

TCF21	|------	miR-144-3p	------|	ECE1

TCF21	|------	miR-144-3p	------|	EFCAB14

TCF21	|------	miR-144-3p	------|	EFNA5

TCF21	|------	miR-144-3p	------|	EGFR

TCF21	|------	miR-144-3p	------|	EMP1

TCF21	|------	miR-144-3p	------|	EPHA7

TCF21	|------	miR-144-3p	------|	FAM168B

TCF21	|------	miR-144-3p	------|	FBXO32

TCF21	|------	miR-144-3p	------|	FOSB

TCF21	|------	miR-144-3p	------|	FTO

TCF21	|------	miR-144-3p	------|	GAB1

TCF21	|------	miR-144-3p	------|	GPM6B

TCF21	|------	miR-144-3p	------|	HIPK2

TCF21	|------	miR-144-3p	------|	ID4

TCF21	|------	miR-144-3p	------|	IFFO2

TCF21	|------	miR-144-3p	------|	INO80D

TCF21	|------	miR-144-3p	------|	IRS1

TCF21	|------	miR-144-3p	------|	ITGB8

TCF21	|------	miR-144-3p	------|	KCNC4

TCF21	|------	miR-144-3p	------|	KCND3

TCF21	|------	miR-144-3p	------|	KIAA1217

TCF21	|------	miR-144-3p	------|	KIT

TCF21	|------	miR-144-3p	------|	KLF8

TCF21	|------	miR-144-3p	------|	LIMCH1

TCF21	|------	miR-144-3p	------|	LYPD6

TCF21	|------	miR-144-3p	------|	MAP1B

TCF21	|------	miR-144-3p	------|	MET

TCF21	|------	miR-144-3p	------|	MYO9A

TCF21	|------	miR-144-3p	------|	NCOA7

TCF21	|------	miR-144-3p	------|	NCS1

TCF21	|------	miR-144-3p	------|	NFIB

TCF21	|------	miR-144-3p	------|	NLN

TCF21	|------	miR-144-3p	------|	NOVA1

TCF21	|------	miR-144-3p	------|	NR6A1

TCF21	|------	miR-144-3p	------|	NT5DC1

TCF21	|------	miR-144-3p	------|	NUDT11

TCF21	|------	miR-144-3p	------|	NUP62CL

TCF21	|------	miR-144-3p	------|	OTUD3

TCF21	|------	miR-144-3p	------|	PAFAH1B1

TCF21	|------	miR-144-3p	------|	PAPPA

TCF21	|------	miR-144-3p	------|	PBRM1

TCF21	|------	miR-144-3p	------|	PCDH10

TCF21	|------	miR-144-3p	------|	PDE4D

TCF21	|------	miR-144-3p	------|	PHLDA1

TCF21	|------	miR-144-3p	------|	PIK3C2A

TCF21	|------	miR-144-3p	------|	PJA2

TCF21	|------	miR-144-3p	------|	PLAT

TCF21	|------	miR-144-3p	------|	PROX1

TCF21	|------	miR-144-3p	------|	PTGS2

TCF21	|------	miR-144-3p	------|	PUM1

TCF21	|------	miR-144-3p	------|	QSER1

TCF21	|------	miR-144-3p	------|	RAPGEF2

TCF21	|------	miR-144-3p	------|	RASGEF1A

TCF21	|------	miR-144-3p	------|	RGMA

TCF21	|------	miR-144-3p	------|	RNPC3

TCF21	|------	miR-144-3p	------|	ROCK1

TCF21	|------	miR-144-3p	------|	RPA1

TCF21	|------	miR-144-3p	------|	RRAGD

TCF21	|------	miR-144-3p	------|	SEMA6A

TCF21	|------	miR-144-3p	------|	SEMA6D

TCF21	|------	miR-144-3p	------|	SFRP1

TCF21	|------	miR-144-3p	------|	SHANK2

TCF21	|------	miR-144-3p	------|	SHH

TCF21	|------	miR-144-3p	------|	SNTB2

TCF21	|------	miR-144-3p	------|	SOCS2

TCF21	|------	miR-144-3p	------|	SPRED1

TCF21	|------	miR-144-3p	------|	SRGAP1

TCF21	|------	miR-144-3p	------|	ST5

TCF21	|------	miR-144-3p	------|	TBC1D14

TCF21	|------	miR-144-3p	------|	TES

TCF21	|------	miR-144-3p	------|	TGFA

TCF21	|------	miR-144-3p	------|	TMF1

TCF21	|------	miR-144-3p	------|	TNC

TCF21	|------	miR-144-3p	------|	TNRC18

TCF21	|------	miR-144-3p	------|	TRIO

TCF21	|------	miR-144-3p	------|	TSHZ2

TCF21	|------	miR-144-3p	------|	TSPAN3

TCF21	|------	miR-144-3p	------|	TSPAN5

TCF21	|------	miR-144-3p	------|	TSPAN6

TCF21	|------	miR-144-3p	------|	USP31

TCF21	|------	miR-144-3p	------|	USP47

TCF21	|------	miR-144-3p	------|	VPS35

TCF21	|------	miR-144-3p	------|	WDFY3

TCF21	|------	miR-144-3p	------|	WIPI2

TCF21	|------	miR-144-3p	------|	XKR6

TCF21	|------	miR-144-3p	------|	ZBTB20

TCF21	|------	miR-144-3p	------|	ZCCHC2

TCF21	|------	miR-144-3p	------|	ZNF207

TCF21	|------	miR-144-3p	------|	ZNF462

TCF21	|------	miR-144-3p	------|	ZNF777

AFF4	|------	miR-140-3p	------|	APLP2

AFF4	|------	miR-140-3p	------|	ATP1B1

AFF4	|------	miR-140-3p	------|	B3GALNT2

AFF4	|------	miR-140-3p	------|	BCL2

AFF4	|------	miR-140-3p	------|	BTG1

AFF4	|------	miR-140-3p	------|	C1orf21

AFF4	|------	miR-140-3p	------|	CASD1

AFF4	|------	miR-140-3p	------|	CCDC171

AFF4	|------	miR-140-3p	------|	CDC42EP3

AFF4	|------	miR-140-3p	------|	CELF1

AFF4	|------	miR-140-3p	------|	CHIC2

AFF4	|------	miR-140-3p	------|	CHL1

AFF4	|------	miR-140-3p	------|	CXADR

AFF4	|------	miR-140-3p	------|	DCUN1D1

AFF4	|------	miR-140-3p	------|	DCUN1D3

AFF4	|------	miR-140-3p	------|	DRP2

AFF4	|------	miR-140-3p	------|	FBXO21

AFF4	|------	miR-140-3p	------|	FBXO44

AFF4	|------	miR-140-3p	------|	GAB1

AFF4	|------	miR-140-3p	------|	GAD2

AFF4	|------	miR-140-3p	------|	HLF

AFF4	|------	miR-140-3p	------|	HNRNPA3

AFF4	|------	miR-140-3p	------|	HS3ST1

AFF4	|------	miR-140-3p	------|	IFRD1

AFF4	|------	miR-140-3p	------|	INO80D

AFF4	|------	miR-140-3p	------|	IP6K1

AFF4	|------	miR-140-3p	------|	KCNH6

AFF4	|------	miR-140-3p	------|	LGSN

AFF4	|------	miR-140-3p	------|	LPP

AFF4	|------	miR-140-3p	------|	LUZP1

AFF4	|------	miR-140-3p	------|	NOVA1

AFF4	|------	miR-140-3p	------|	PAFAH1B2

AFF4	|------	miR-140-3p	------|	PCDH10

AFF4	|------	miR-140-3p	------|	PPP1CB

AFF4	|------	miR-140-3p	------|	PROX1

AFF4	|------	miR-140-3p	------|	RAB3B

AFF4	|------	miR-140-3p	------|	RASSF6

AFF4	|------	miR-140-3p	------|	RBMS1

AFF4	|------	miR-140-3p	------|	RFX1

AFF4	|------	miR-140-3p	------|	RRAS2

AFF4	|------	miR-140-3p	------|	SLC5A1

AFF4	|------	miR-140-3p	------|	SRGAP1

AFF4	|------	miR-140-3p	------|	SYN1

AFF4	|------	miR-140-3p	------|	TGFA

AFF4	|------	miR-140-3p	------|	TLE4

AFF4	|------	miR-140-3p	------|	TMED8

AFF4	|------	miR-140-3p	------|	TSPAN3

AFF4	|------	miR-140-3p	------|	TSTD2

AFF4	|------	miR-140-3p	------|	UBE2H

AFF4	|------	miR-140-3p	------|	USP31

AFF4	|------	miR-140-3p	------|	ZBTB20

AFF4	|------	miR-140-3p	------|	ZC3H7B

AFF4	|------	miR-140-3p	------|	ZNF207

AFF4	|------	miR-140-3p	------|	ZNF777

MYB	|------	miR-140-3p	------|	APLP2

MYB	|------	miR-140-3p	------|	ATP1B1

MYB	|------	miR-140-3p	------|	B3GALNT2

MYB	|------	miR-140-3p	------|	BCL2

MYB	|------	miR-140-3p	------|	BTG1

MYB	|------	miR-140-3p	------|	C1orf21

MYB	|------	miR-140-3p	------|	CASD1

MYB	|------	miR-140-3p	------|	CCDC171

MYB	|------	miR-140-3p	------|	CDC42EP3

MYB	|------	miR-140-3p	------|	CELF1

MYB	|------	miR-140-3p	------|	CHIC2

MYB	|------	miR-140-3p	------|	CHL1

MYB	|------	miR-140-3p	------|	CXADR

MYB	|------	miR-140-3p	------|	DCUN1D1

MYB	|------	miR-140-3p	------|	DCUN1D3

MYB	|------	miR-140-3p	------|	DRP2

MYB	|------	miR-140-3p	------|	FBXO21

MYB	|------	miR-140-3p	------|	FBXO44

MYB	|------	miR-140-3p	------|	GAB1

MYB	|------	miR-140-3p	------|	GAD2

MYB	|------	miR-140-3p	------|	HLF

MYB	|------	miR-140-3p	------|	HNRNPA3

MYB	|------	miR-140-3p	------|	HS3ST1

MYB	|------	miR-140-3p	------|	IFRD1

MYB	|------	miR-140-3p	------|	INO80D

MYB	|------	miR-140-3p	------|	IP6K1

MYB	|------	miR-140-3p	------|	KCNH6

MYB	|------	miR-140-3p	------|	LGSN

MYB	|------	miR-140-3p	------|	LPP

MYB	|------	miR-140-3p	------|	LUZP1

MYB	|------	miR-140-3p	------|	NOVA1

MYB	|------	miR-140-3p	------|	PAFAH1B2

MYB	|------	miR-140-3p	------|	PCDH10

MYB	|------	miR-140-3p	------|	PPP1CB

MYB	|------	miR-140-3p	------|	PROX1

MYB	|------	miR-140-3p	------|	RAB3B

MYB	|------	miR-140-3p	------|	RASSF6

MYB	|------	miR-140-3p	------|	RBMS1

MYB	|------	miR-140-3p	------|	RFX1

MYB	|------	miR-140-3p	------|	RRAS2

MYB	|------	miR-140-3p	------|	SLC5A1

MYB	|------	miR-140-3p	------|	SRGAP1

MYB	|------	miR-140-3p	------|	SYN1

MYB	|------	miR-140-3p	------|	TGFA

MYB	|------	miR-140-3p	------|	TLE4

MYB	|------	miR-140-3p	------|	TMED8

MYB	|------	miR-140-3p	------|	TSPAN3

MYB	|------	miR-140-3p	------|	TSTD2

MYB	|------	miR-140-3p	------|	UBE2H

MYB	|------	miR-140-3p	------|	USP31

MYB	|------	miR-140-3p	------|	ZBTB20

MYB	|------	miR-140-3p	------|	ZC3H7B

MYB	|------	miR-140-3p	------|	ZNF207

MYB	|------	miR-140-3p	------|	ZNF777

OTX2	|------	miR-140-3p	------|	APLP2

OTX2	|------	miR-140-3p	------|	ATP1B1

OTX2	|------	miR-140-3p	------|	B3GALNT2

OTX2	|------	miR-140-3p	------|	BCL2

OTX2	|------	miR-140-3p	------|	BTG1

OTX2	|------	miR-140-3p	------|	C1orf21

OTX2	|------	miR-140-3p	------|	CASD1

OTX2	|------	miR-140-3p	------|	CCDC171

OTX2	|------	miR-140-3p	------|	CDC42EP3

OTX2	|------	miR-140-3p	------|	CELF1

OTX2	|------	miR-140-3p	------|	CHIC2

OTX2	|------	miR-140-3p	------|	CHL1

OTX2	|------	miR-140-3p	------|	CXADR

OTX2	|------	miR-140-3p	------|	DCUN1D1

OTX2	|------	miR-140-3p	------|	DCUN1D3

OTX2	|------	miR-140-3p	------|	DRP2

OTX2	|------	miR-140-3p	------|	FBXO21

OTX2	|------	miR-140-3p	------|	FBXO44

OTX2	|------	miR-140-3p	------|	GAB1

OTX2	|------	miR-140-3p	------|	GAD2

OTX2	|------	miR-140-3p	------|	HLF

OTX2	|------	miR-140-3p	------|	HNRNPA3

OTX2	|------	miR-140-3p	------|	HS3ST1

OTX2	|------	miR-140-3p	------|	IFRD1

OTX2	|------	miR-140-3p	------|	INO80D

OTX2	|------	miR-140-3p	------|	IP6K1

OTX2	|------	miR-140-3p	------|	KCNH6

OTX2	|------	miR-140-3p	------|	LGSN

OTX2	|------	miR-140-3p	------|	LPP

OTX2	|------	miR-140-3p	------|	LUZP1

OTX2	|------	miR-140-3p	------|	NOVA1

OTX2	|------	miR-140-3p	------|	PAFAH1B2

OTX2	|------	miR-140-3p	------|	PCDH10

OTX2	|------	miR-140-3p	------|	PPP1CB

OTX2	|------	miR-140-3p	------|	PROX1

OTX2	|------	miR-140-3p	------|	RAB3B

OTX2	|------	miR-140-3p	------|	RASSF6

OTX2	|------	miR-140-3p	------|	RBMS1

OTX2	|------	miR-140-3p	------|	RFX1

OTX2	|------	miR-140-3p	------|	RRAS2

OTX2	|------	miR-140-3p	------|	SLC5A1

OTX2	|------	miR-140-3p	------|	SRGAP1

OTX2	|------	miR-140-3p	------|	SYN1

OTX2	|------	miR-140-3p	------|	TGFA

OTX2	|------	miR-140-3p	------|	TLE4

OTX2	|------	miR-140-3p	------|	TMED8

OTX2	|------	miR-140-3p	------|	TSPAN3

OTX2	|------	miR-140-3p	------|	TSTD2

OTX2	|------	miR-140-3p	------|	UBE2H

OTX2	|------	miR-140-3p	------|	USP31

OTX2	|------	miR-140-3p	------|	ZBTB20

OTX2	|------	miR-140-3p	------|	ZC3H7B

OTX2	|------	miR-140-3p	------|	ZNF207

OTX2	|------	miR-140-3p	------|	ZNF777

SMARCC2	|------	miR-140-3p	------|	APLP2

SMARCC2	|------	miR-140-3p	------|	ATP1B1

SMARCC2	|------	miR-140-3p	------|	B3GALNT2

SMARCC2	|------	miR-140-3p	------|	BCL2

SMARCC2	|------	miR-140-3p	------|	BTG1

SMARCC2	|------	miR-140-3p	------|	C1orf21

SMARCC2	|------	miR-140-3p	------|	CASD1

SMARCC2	|------	miR-140-3p	------|	CCDC171

SMARCC2	|------	miR-140-3p	------|	CDC42EP3

SMARCC2	|------	miR-140-3p	------|	CELF1

SMARCC2	|------	miR-140-3p	------|	CHIC2

SMARCC2	|------	miR-140-3p	------|	CHL1

SMARCC2	|------	miR-140-3p	------|	CXADR

SMARCC2	|------	miR-140-3p	------|	DCUN1D1

SMARCC2	|------	miR-140-3p	------|	DCUN1D3

SMARCC2	|------	miR-140-3p	------|	DRP2

SMARCC2	|------	miR-140-3p	------|	FBXO21

SMARCC2	|------	miR-140-3p	------|	FBXO44

SMARCC2	|------	miR-140-3p	------|	GAB1

SMARCC2	|------	miR-140-3p	------|	GAD2

SMARCC2	|------	miR-140-3p	------|	HLF

SMARCC2	|------	miR-140-3p	------|	HNRNPA3

SMARCC2	|------	miR-140-3p	------|	HS3ST1

SMARCC2	|------	miR-140-3p	------|	IFRD1

SMARCC2	|------	miR-140-3p	------|	INO80D

SMARCC2	|------	miR-140-3p	------|	IP6K1

SMARCC2	|------	miR-140-3p	------|	KCNH6

SMARCC2	|------	miR-140-3p	------|	LGSN

SMARCC2	|------	miR-140-3p	------|	LPP

SMARCC2	|------	miR-140-3p	------|	LUZP1

SMARCC2	|------	miR-140-3p	------|	NOVA1

SMARCC2	|------	miR-140-3p	------|	PAFAH1B2

SMARCC2	|------	miR-140-3p	------|	PCDH10

SMARCC2	|------	miR-140-3p	------|	PPP1CB

SMARCC2	|------	miR-140-3p	------|	PROX1

SMARCC2	|------	miR-140-3p	------|	RAB3B

SMARCC2	|------	miR-140-3p	------|	RASSF6

SMARCC2	|------	miR-140-3p	------|	RBMS1

SMARCC2	|------	miR-140-3p	------|	RFX1

SMARCC2	|------	miR-140-3p	------|	RRAS2

SMARCC2	|------	miR-140-3p	------|	SLC5A1

SMARCC2	|------	miR-140-3p	------|	SRGAP1

SMARCC2	|------	miR-140-3p	------|	SYN1

SMARCC2	|------	miR-140-3p	------|	TGFA

SMARCC2	|------	miR-140-3p	------|	TLE4

SMARCC2	|------	miR-140-3p	------|	TMED8

SMARCC2	|------	miR-140-3p	------|	TSPAN3

SMARCC2	|------	miR-140-3p	------|	TSTD2

SMARCC2	|------	miR-140-3p	------|	UBE2H

SMARCC2	|------	miR-140-3p	------|	USP31

SMARCC2	|------	miR-140-3p	------|	ZBTB20

SMARCC2	|------	miR-140-3p	------|	ZC3H7B

SMARCC2	|------	miR-140-3p	------|	ZNF207

SMARCC2	|------	miR-140-3p	------|	ZNF777

SP4	|------	miR-140-3p	------|	APLP2

SP4	|------	miR-140-3p	------|	ATP1B1

SP4	|------	miR-140-3p	------|	B3GALNT2

SP4	|------	miR-140-3p	------|	BCL2

SP4	|------	miR-140-3p	------|	BTG1

SP4	|------	miR-140-3p	------|	C1orf21

SP4	|------	miR-140-3p	------|	CASD1

SP4	|------	miR-140-3p	------|	CCDC171

SP4	|------	miR-140-3p	------|	CDC42EP3

SP4	|------	miR-140-3p	------|	CELF1

SP4	|------	miR-140-3p	------|	CHIC2

SP4	|------	miR-140-3p	------|	CHL1

SP4	|------	miR-140-3p	------|	CXADR

SP4	|------	miR-140-3p	------|	DCUN1D1

SP4	|------	miR-140-3p	------|	DCUN1D3

SP4	|------	miR-140-3p	------|	DRP2

SP4	|------	miR-140-3p	------|	FBXO21

SP4	|------	miR-140-3p	------|	FBXO44

SP4	|------	miR-140-3p	------|	GAB1

SP4	|------	miR-140-3p	------|	GAD2

SP4	|------	miR-140-3p	------|	HLF

SP4	|------	miR-140-3p	------|	HNRNPA3

SP4	|------	miR-140-3p	------|	HS3ST1

SP4	|------	miR-140-3p	------|	IFRD1

SP4	|------	miR-140-3p	------|	INO80D

SP4	|------	miR-140-3p	------|	IP6K1

SP4	|------	miR-140-3p	------|	KCNH6

SP4	|------	miR-140-3p	------|	LGSN

SP4	|------	miR-140-3p	------|	LPP

SP4	|------	miR-140-3p	------|	LUZP1

SP4	|------	miR-140-3p	------|	NOVA1

SP4	|------	miR-140-3p	------|	PAFAH1B2

SP4	|------	miR-140-3p	------|	PCDH10

SP4	|------	miR-140-3p	------|	PPP1CB

SP4	|------	miR-140-3p	------|	PROX1

SP4	|------	miR-140-3p	------|	RAB3B

SP4	|------	miR-140-3p	------|	RASSF6

SP4	|------	miR-140-3p	------|	RBMS1

SP4	|------	miR-140-3p	------|	RFX1

SP4	|------	miR-140-3p	------|	RRAS2

SP4	|------	miR-140-3p	------|	SLC5A1

SP4	|------	miR-140-3p	------|	SRGAP1

SP4	|------	miR-140-3p	------|	SYN1

SP4	|------	miR-140-3p	------|	TGFA

SP4	|------	miR-140-3p	------|	TLE4

SP4	|------	miR-140-3p	------|	TMED8

SP4	|------	miR-140-3p	------|	TSPAN3

SP4	|------	miR-140-3p	------|	TSTD2

SP4	|------	miR-140-3p	------|	UBE2H

SP4	|------	miR-140-3p	------|	USP31

SP4	|------	miR-140-3p	------|	ZBTB20

SP4	|------	miR-140-3p	------|	ZC3H7B

SP4	|------	miR-140-3p	------|	ZNF207

SP4	|------	miR-140-3p	------|	ZNF777

AFF4	|------	miR-205-5p	------|	ACSL1

AFF4	|------	miR-205-5p	------|	AMOT

AFF4	|------	miR-205-5p	------|	CADM1

AFF4	|------	miR-205-5p	------|	CASD1

AFF4	|------	miR-205-5p	------|	CDH19

AFF4	|------	miR-205-5p	------|	CLDN11

AFF4	|------	miR-205-5p	------|	COMMD10

AFF4	|------	miR-205-5p	------|	CTH

AFF4	|------	miR-205-5p	------|	DCDC2

AFF4	|------	miR-205-5p	------|	DSC1

AFF4	|------	miR-205-5p	------|	DSC3

AFF4	|------	miR-205-5p	------|	DST

AFF4	|------	miR-205-5p	------|	ERRFI1

AFF4	|------	miR-205-5p	------|	EVA1C

AFF4	|------	miR-205-5p	------|	FAM126A

AFF4	|------	miR-205-5p	------|	FZD3

AFF4	|------	miR-205-5p	------|	GRAMD2

AFF4	|------	miR-205-5p	------|	GRB10

AFF4	|------	miR-205-5p	------|	H2AFJ

AFF4	|------	miR-205-5p	------|	HOXD9

AFF4	|------	miR-205-5p	------|	HS3ST1

AFF4	|------	miR-205-5p	------|	INSR

AFF4	|------	miR-205-5p	------|	KCND3

AFF4	|------	miR-205-5p	------|	LYPD6

AFF4	|------	miR-205-5p	------|	LYSMD4

AFF4	|------	miR-205-5p	------|	MAGI1

AFF4	|------	miR-205-5p	------|	MMAB

AFF4	|------	miR-205-5p	------|	NCOA1

AFF4	|------	miR-205-5p	------|	NFIB

AFF4	|------	miR-205-5p	------|	NFIX

AFF4	|------	miR-205-5p	------|	NOTCH2

AFF4	|------	miR-205-5p	------|	NR3C2

AFF4	|------	miR-205-5p	------|	NR6A1

AFF4	|------	miR-205-5p	------|	NUP62CL

AFF4	|------	miR-205-5p	------|	PAFAH1B1

AFF4	|------	miR-205-5p	------|	PJA2

AFF4	|------	miR-205-5p	------|	PROX1

AFF4	|------	miR-205-5p	------|	RBMS1

AFF4	|------	miR-205-5p	------|	RND3

AFF4	|------	miR-205-5p	------|	RNF207

AFF4	|------	miR-205-5p	------|	SHROOM3

AFF4	|------	miR-205-5p	------|	SORBS1

AFF4	|------	miR-205-5p	------|	SP6

AFF4	|------	miR-205-5p	------|	SRGAP1

AFF4	|------	miR-205-5p	------|	STON2

AFF4	|------	miR-205-5p	------|	TBC1D13

AFF4	|------	miR-205-5p	------|	TEAD1

AFF4	|------	miR-205-5p	------|	TFDP2

AFF4	|------	miR-205-5p	------|	TGFA

AFF4	|------	miR-205-5p	------|	TIAL1

AFF4	|------	miR-205-5p	------|	TNR

AFF4	|------	miR-205-5p	------|	TNS1

AFF4	|------	miR-205-5p	------|	TPP2

AFF4	|------	miR-205-5p	------|	TSC22D1

AFF4	|------	miR-205-5p	------|	YAP1

AFF4	|------	miR-205-5p	------|	ZBTB20

AFF4	|------	miR-205-5p	------|	ZFYVE16

AFF4	|------	miR-205-5p	------|	ZHX3

SMAD4	|------	miR-205-5p	------|	ACSL1

SMAD4	|------	miR-205-5p	------|	AMOT

SMAD4	|------	miR-205-5p	------|	CADM1

SMAD4	|------	miR-205-5p	------|	CASD1

SMAD4	|------	miR-205-5p	------|	CDH19

SMAD4	|------	miR-205-5p	------|	CLDN11

SMAD4	|------	miR-205-5p	------|	COMMD10

SMAD4	|------	miR-205-5p	------|	CTH

SMAD4	|------	miR-205-5p	------|	DCDC2

SMAD4	|------	miR-205-5p	------|	DSC1

SMAD4	|------	miR-205-5p	------|	DSC3

SMAD4	|------	miR-205-5p	------|	DST

SMAD4	|------	miR-205-5p	------|	ERRFI1

SMAD4	|------	miR-205-5p	------|	EVA1C

SMAD4	|------	miR-205-5p	------|	FAM126A

SMAD4	|------	miR-205-5p	------|	FZD3

SMAD4	|------	miR-205-5p	------|	GRAMD2

SMAD4	|------	miR-205-5p	------|	GRB10

SMAD4	|------	miR-205-5p	------|	H2AFJ

SMAD4	|------	miR-205-5p	------|	HOXD9

SMAD4	|------	miR-205-5p	------|	HS3ST1

SMAD4	|------	miR-205-5p	------|	INSR

SMAD4	|------	miR-205-5p	------|	KCND3

SMAD4	|------	miR-205-5p	------|	LYPD6

SMAD4	|------	miR-205-5p	------|	LYSMD4

SMAD4	|------	miR-205-5p	------|	MAGI1

